date;state;country;confirmed;confirmed_filtered;confirmed_DR;confirmed_filtered_DR
2020-01-24;no;France;2.0;2.400000000000001;;
2020-01-24;no;Germany;;2.3083682355312627e-17;;
2020-01-24;no;Italy;;0.0;;
2020-01-25;no;France;3.0;2.3000000000000003;;
2020-01-25;no;Germany;;0.10000000000000003;;
2020-01-25;no;Italy;;0.0;;
2020-01-26;no;France;3.0;2.1999999999999993;5.333333333333336;
2020-01-26;no;Germany;;0.19999999999999996;;
2020-01-26;no;Italy;;0.0;;
2020-01-27;no;France;;1.7999999999999996;;
2020-01-27;no;Germany;1.0;0.19999999999999998;;
2020-01-27;no;Italy;;0.0;;
2020-01-27;no;Italy;;0.0;;
2020-01-27;no;Germany;;0.9999999999999998;;
2020-01-27;no;France;3.0;1.9999999999999996;;
2020-01-28;no;Germany;;1.7999999999999996;;
2020-01-28;no;Italy;;0.0;;
2020-01-28;no;Italy;;0.0;;
2020-01-28;no;Germany;4.0;1.5999999999999996;;
2020-01-28;no;France;;1.3999999999999997;;
2020-01-28;no;France;4.0;2.3999999999999995;;
2020-01-29;no;Italy;;0.0;;
2020-01-29;no;France;;2.7999999999999994;;
2020-01-29;no;Germany;4.0;1.5999999999999996;;
2020-01-29;no;France;5.0;2.8;;
2020-01-29;no;Germany;;2.3999999999999995;;
2020-01-29;no;Italy;;0.0;;
2020-01-30;no;France;5.0;1.9999999999999996;;
2020-01-30;no;Germany;;1.5999999999999996;;
2020-01-30;no;Italy;;0.0;;
2020-01-30;no;Italy;;0.0;;
2020-01-30;no;Germany;4.0;1.7999999999999998;;
2020-01-30;no;France;;2.999999999999999;;
2020-01-31;no;France;;1.9999999999999996;;
2020-01-31;no;Italy;;0.3999999999999999;;
2020-01-31;no;France;5.0;0.9999999999999999;;
2020-01-31;no;Italy;;0.7999999999999998;;
2020-01-31;no;Germany;;1.7999999999999996;;
2020-01-31;no;Germany;5.0;1.7999999999999998;;
2020-01-31;no;Italy;2.0;0.7999999999999998;;
2020-01-31;no;Germany;;2.5999999999999996;;
2020-01-31;no;France;;2.1999999999999993;;
2020-02-01;no;Italy;2.0;0.7999999999999998;;
2020-02-01;no;Germany;;2.5999999999999996;;
2020-02-01;no;France;;2.1999999999999993;;
2020-02-01;no;France;6.0;1.2;;
2020-02-01;no;Germany;8.0;3.5999999999999996;;
2020-02-01;no;Italy;;0.7999999999999998;;
2020-02-01;no;Germany;;3.599999999999999;;
2020-02-01;no;Italy;;0.7999999999999998;;
2020-02-01;no;France;;2.3999999999999995;;
2020-02-02;no;France;;2.3999999999999995;;
2020-02-02;no;Germany;10.0;3.5999999999999996;;
2020-02-02;no;Italy;;0.3999999999999999;;
2020-02-02;no;France;6.0;2.3999999999999995;;
2020-02-02;no;Germany;;1.9999999999999996;;
2020-02-02;no;Italy;2.0;0.39999999999999997;;
2020-02-02;no;Germany;;4.399999999999999;;
2020-02-02;no;France;;2.3999999999999995;;
2020-02-02;no;Italy;;0.7999999999999998;;
2020-02-03;no;France;6.0;2.3999999999999995;;
2020-02-03;no;Germany;;2.3999999999999995;;
2020-02-03;no;Germany;12.0;4.799999999999999;;
2020-02-03;no;Italy;;0.7999999999999998;;
2020-02-03;no;France;;1.1999999999999997;;
2020-02-03;no;Germany;;4.799999999999999;;
2020-02-03;no;Italy;2.0;0.39999999999999997;;
2020-02-03;no;France;;2.3999999999999995;;
2020-02-03;no;Italy;;0.7999999999999998;;
