;date;Germany;Italy;Spain
0;2020-01-27;1.0;;
1;2020-01-28;4.0;;
2;2020-01-29;4.0;;
3;2020-01-30;4.0;;
4;2020-01-31;5.0;;
5;2020-02-01;8.0;;
6;2020-02-02;10.0;;
7;2020-02-03;12.0;;
8;2020-02-04;12.0;;
9;2020-02-05;12.0;;
10;2020-02-06;12.0;;
11;2020-02-07;13.0;;
12;2020-02-08;13.0;;
13;2020-02-09;14.0;;
14;2020-02-10;14.0;;
15;2020-02-11;16.0;;
16;2020-02-12;16.0;;
17;2020-02-13;16.0;;
18;2020-02-14;16.0;;
19;2020-02-15;16.0;;
20;2020-02-16;16.0;;
21;2020-02-17;16.0;;
22;2020-02-18;16.0;;
23;2020-02-19;16.0;;
24;2020-02-20;16.0;;
25;2020-02-21;16.0;;
26;2020-02-22;16.0;;
27;2020-02-23;16.0;;
28;2020-02-24;16.0;;
29;2020-02-25;16.0;;
30;2020-02-26;21.0;;
31;2020-02-27;26.0;;
32;2020-02-28;53.0;;
33;2020-02-29;66.0;;
34;2020-03-01;117.0;;
35;2020-03-02;150.0;;
36;2020-03-03;188.0;;
37;2020-03-04;240.0;;
38;2020-03-05;349.0;;
39;2020-03-06;534.0;;
40;2020-03-07;684.0;;
41;2020-03-08;847.0;;
42;2020-03-09;1112.0;;
43;2020-03-10;1296.0;;
44;2020-03-11;1567.0;;
45;2020-03-12;2369.0;;
46;2020-03-13;3062.0;;
47;2020-03-14;3795.0;;
48;2020-03-15;4838.0;;
49;2020-03-16;6012.0;;
50;2020-03-17;7156.0;;
51;2020-03-18;8198.0;;
52;2020-03-19;10999.0;;
53;2020-03-20;13957.0;;
54;2020-03-21;16662.0;;
55;2020-03-22;18610.0;;
56;2020-03-23;22672.0;;
57;2020-03-24;27436.0;;
58;2020-03-25;31554.0;;
59;2020-03-26;36508.0;;
60;2020-03-27;42288.0;;
61;2020-03-28;48582.0;;
62;2020-03-29;52547.0;;
63;2020-03-30;57298.0;;
64;2020-03-31;61913.0;;
65;2020-04-01;67366.0;;
66;2020-04-02;73522.0;;
67;2020-04-03;79696.0;;
68;2020-04-04;85778.0;;
69;2020-04-05;91714.0;;
70;2020-04-06;95391.0;;
71;2020-04-07;99225.0;;
72;2020-04-08;103228.0;;
73;2020-04-09;108202.0;;
74;2020-04-10;113525.0;;
75;2020-04-11;117658.0;;
76;2020-04-12;120479.0;;
77;2020-04-13;123016.0;;
78;2020-04-14;125098.0;;
79;2020-04-15;127584.0;;
80;2020-04-16;130450.0;;
81;2020-04-17;133830.0;;
82;2020-04-18;137439.0;;
83;2020-04-19;139897.0;;
84;2020-04-20;141672.0;;
85;2020-04-21;143457.0;;
86;2020-04-22;145694.0;;
87;2020-04-23;148046.0;;
88;2020-04-24;150383.0;;
89;2020-04-25;152438.0;;
90;2020-04-26;154175.0;;
91;2020-04-27;155193.0;;
92;2020-04-28;156337.0;;
93;2020-04-29;157641.0;;
94;2020-04-30;159119.0;;
95;2020-05-01;160758.0;;
96;2020-05-02;161703.0;;
97;2020-05-03;162496.0;;
98;2020-05-04;163175.0;;
99;2020-05-05;163860.0;;
100;2020-05-06;164807.0;;
101;2020-05-07;166091.0;;
102;2020-05-08;167300.0;;
103;2020-05-09;168551.0;;
104;2020-05-10;169218.0;;
105;2020-05-11;169575.0;;
106;2020-05-12;170508.0;;
107;2020-05-13;171306.0;;
108;2020-05-14;172239.0;;
109;2020-05-15;173152.0;;
110;2020-05-16;173772.0;;
111;2020-05-17;174355.0;;
112;2020-05-18;174697.0;;
113;2020-05-19;175210.0;;
114;2020-05-20;176007.0;;
115;2020-05-21;176752.0;;
116;2020-05-22;177212.0;;
117;2020-05-23;177850.0;;
118;2020-05-24;178281.0;;
119;2020-05-25;178570.0;;
120;2020-05-26;179002.0;;
121;2020-05-27;179364.0;;
122;2020-05-28;179717.0;;
123;2020-05-29;180458.0;;
124;2020-05-30;181196.0;;
125;2020-05-31;181482.0;;
126;2020-06-01;181815.0;;
127;2020-06-02;182028.0;;
128;2020-06-03;182370.0;;
129;2020-06-04;182764.0;;
130;2020-06-05;183271.0;;
131;2020-06-06;183678.0;;
132;2020-06-07;183979.0;;
133;2020-06-08;184193.0;;
134;2020-06-09;184543.0;;
135;2020-06-10;184861.0;;
136;2020-06-11;185416.0;;
137;2020-06-12;185674.0;;
138;2020-06-13;186022.0;;
139;2020-06-14;186269.0;;
140;2020-06-15;186461.0;;
141;2020-06-16;186839.0;;
142;2020-06-17;187184.0;;
143;2020-06-18;187764.0;;
144;2020-06-19;188534.0;;
145;2020-06-20;189135.0;;
146;2020-06-21;189822.0;;
147;2020-06-22;190359.0;;
148;2020-06-23;190862.0;;
149;2020-06-24;191449.0;;
150;2020-06-25;192079.0;;
151;2020-06-26;192556.0;;
152;2020-06-27;193243.0;;
153;2020-06-28;193499.0;;
154;2020-06-29;193761.0;;
155;2020-06-30;194259.0;;
156;2020-07-01;194725.0;;
157;2020-07-02;195228.0;;
158;2020-07-03;195674.0;;
159;2020-07-04;196096.0;;
160;2020-07-05;196335.0;;
161;2020-07-06;196554.0;;
162;2020-07-07;196944.0;;
163;2020-07-08;197341.0;;
164;2020-07-09;197783.0;;
165;2020-07-10;198178.0;;
166;2020-07-11;198556.0;;
167;2020-07-12;198804.0;;
168;2020-07-13;198963.0;;
169;2020-07-14;199375.0;;
170;2020-07-15;199726.0;;
171;2020-07-16;200260.0;;
172;2020-07-17;200843.0;;
173;2020-07-18;201372.0;;
174;2020-07-19;201574.0;;
175;2020-07-20;201823.0;;
176;2020-07-21;202345.0;;
177;2020-07-22;202799.0;;
178;2020-07-23;203368.0;;
179;2020-07-24;204183.0;;
180;2020-07-25;204964.0;;
181;2020-07-26;205269.0;;
182;2020-07-27;205609.0;;
183;2020-07-28;206242.0;;
184;2020-07-29;206926.0;;
185;2020-07-30;207828.0;;
186;2020-07-31;208698.0;;
187;2020-08-01;209653.0;;
188;2020-08-02;209893.0;;
189;2020-08-03;210402.0;;
190;2020-08-04;211281.0;;
191;2020-08-05;212022.0;;
192;2020-08-06;213067.0;;
193;2020-08-07;214214.0;;
194;2020-08-08;215336.0;;
195;2020-08-09;215891.0;;
196;2020-08-10;216327.0;;
197;2020-08-11;217293.0;;
198;2020-08-12;218519.0;;
199;2020-08-13;219964.0;;
200;2020-08-14;221413.0;;
201;2020-08-15;222828.0;;
202;2020-08-16;223453.0;;
203;2020-08-17;224014.0;;
204;2020-08-18;225404.0;;
205;2020-08-19;226914.0;;
206;2020-08-20;228621.0;;
207;2020-08-21;230048.0;;
208;2020-08-22;232082.0;;
209;2020-08-23;232864.0;;
210;2020-08-24;233575.0;;
211;2020-08-25;234853.0;;
212;2020-08-26;236429.0;;
213;2020-08-27;237936.0;;
214;2020-08-28;239507.0;;
215;2020-08-29;240986.0;;
216;2020-08-30;241771.0;;
217;2020-08-31;242381.0;;
218;2020-09-01;243599.0;;
219;2020-09-02;244855.0;;
220;2020-09-03;246166.0;;
221;2020-09-04;247619.0;;
222;2020-09-05;248997.0;;
223;2020-09-06;249985.0;;
224;2020-09-07;250799.0;;
225;2020-09-08;252298.0;;
226;2020-09-09;253474.0;;
227;2020-09-10;255366.0;;
228;2020-09-11;256850.0;;
229;2020-09-12;258480.0;;
230;2020-09-13;259428.0;;
231;2020-09-14;260355.0;;
232;2020-09-15;261762.0;;
233;2020-09-16;263663.0;;
234;2020-09-17;265857.0;;
235;2020-09-18;267773.0;;
236;2020-09-19;270070.0;;
237;2020-09-20;271415.0;;
238;2020-09-21;272337.0;;
239;2020-09-22;274158.0;;
240;2020-09-23;275927.0;;
241;2020-09-24;278070.0;;
242;2020-09-25;280223.0;;
243;2020-09-26;282730.0;;
244;2020-09-27;284140.0;;
245;2020-09-28;285332.0;;
246;2020-09-29;287421.0;;
247;2020-09-30;289219.0;;
248;2020-10-01;291722.0;;
249;2020-10-02;294395.0;;
250;2020-10-03;296958.0;;
251;2020-10-04;299237.0;;
252;2020-10-05;300619.0;;
253;2020-10-06;303258.0;;
254;2020-10-07;306086.0;;
255;2020-10-08;310144.0;;
256;2020-10-09;314660.0;;
257;2020-10-10;319381.0;;
258;2020-10-11;322864.0;;
259;2020-10-12;325331.0;;
260;2020-10-13;329453.0;;
261;2020-10-14;334585.0;;
262;2020-10-15;341223.0;;
263;2020-10-16;348557.0;;
264;2020-10-17;356387.0;;
265;2020-10-18;361974.0;;
266;2020-10-19;366299.0;;
267;2020-10-20;373167.0;;
268;2020-10-21;380762.0;;
269;2020-10-22;392049.0;;
270;2020-10-23;403291.0;;
271;2020-10-24;418005.0;;
272;2020-10-25;429181.0;;
273;2020-10-26;437866.0;;
274;2020-10-27;449275.0;;
275;2020-10-28;464239.0;;
276;2020-10-29;481013.0;;
277;2020-10-30;499694.0;;
278;2020-10-31;518753.0;;
279;2020-11-01;532930.0;;
280;2020-11-02;545027.0;;
281;2020-11-03;560379.0;;
282;2020-11-04;577593.0;;
283;2020-11-05;597583.0;;
284;2020-11-06;619089.0;;
285;2020-11-07;642488.0;;
286;2020-11-08;658505.0;;
287;2020-11-09;671868.0;;
288;2020-11-10;687200.0;;
289;2020-11-11;705687.0;;
290;2020-11-12;727553.0;;
291;2020-11-13;751095.0;;
292;2020-11-14;773556.0;;
293;2020-11-15;790503.0;;
294;2020-11-16;801327.0;;
295;2020-11-17;815746.0;;
296;2020-11-18;833307.0;;
297;2020-11-19;855916.0;;
298;2020-11-20;879564.0;;
299;2020-11-21;902528.0;;
300;2020-11-22;918269.0;;
301;2020-11-23;929133.0;;
302;2020-11-24;942687.0;;
303;2020-11-25;961320.0;;
304;2020-11-26;983588.0;;
305;2020-11-27;1006394.0;;
306;2020-11-28;1028089.0;;
307;2020-11-29;1042700.0;;
308;2020-11-30;1053869.0;;
309;2020-12-01;1067473.0;;
310;2020-12-02;1084743.0;;
311;2020-12-03;1106789.0;;
312;2020-12-04;1130238.0;;
313;2020-12-05;1153556.0;;
314;2020-12-06;1171323.0;;
315;2020-12-07;1183655.0;;
316;2020-12-08;1197709.0;;
317;2020-12-09;1218524.0;;
318;2020-12-10;1242203.0;;
319;2020-12-11;1272078.0;;
320;2020-12-12;1300516.0;;
321;2020-12-13;1320716.0;;
322;2020-12-14;1337078.0;;
323;2020-12-15;1351510.0;;
324;2020-12-16;1379238.0;;
325;2020-12-17;1406161.0;;
326;2020-12-18;1439938.0;;
327;2020-12-19;1471238.0;;
328;2020-12-20;1494009.0;;
329;2020-12-21;1510652.0;;
330;2020-12-22;1530180.0;;
331;2020-12-23;1554920.0;;
332;2020-12-24;1587115.0;;
333;2020-12-25;1612648.0;;
334;2020-12-26;1627103.0;;
335;2020-12-27;1640858.0;;
336;2020-12-28;1651834.0;;
337;2020-12-29;1664726.0;;
338;2020-12-30;1687185.0;;
339;2020-12-31;1719737.0;;
340;2021-01-01;1742661.0;;
341;2021-01-02;1755351.0;;
342;2021-01-03;1765666.0;;
343;2021-01-04;1775513.0;;
344;2021-01-05;1787410.0;;
345;2021-01-06;1808647.0;;
346;2021-01-07;1835038.0;;
347;2021-01-08;1866887.0;;
348;2021-01-09;1891581.0;;
349;2021-01-10;1908527.0;;
350;2021-01-11;1921024.0;;
351;2021-01-12;1933826.0;;
352;2021-01-13;1953426.0;;
353;2021-01-14;1978590.0;;
354;2021-01-15;2000958.0;;
355;2021-01-16;2019636.0;;
356;2021-01-17;2033518.0;;
357;2021-01-18;2040659.0;;
358;2021-01-19;2052028.0;;
359;2021-01-20;2068002.0;;
360;2021-01-21;2088400.0;;
361;2021-01-22;2106262.0;;
362;2021-01-23;2122679.0;;
363;2021-01-24;2134936.0;;
364;2021-01-25;2141665.0;;
365;2021-01-26;2148077.0;;
366;2021-01-27;2161275.0;;
