date;state;country;confirmed
2020-01-24;no;France;2.0
2020-01-24;no;Germany;
2020-01-24;no;Italy;
2020-01-25;no;France;3.0
2020-01-25;no;Germany;
2020-01-25;no;Italy;
2020-01-26;no;France;3.0
2020-01-26;no;Germany;
2020-01-26;no;Italy;
2020-01-27;no;France;3.0
2020-01-27;no;Germany;
2020-01-27;no;Italy;
2020-01-28;no;France;4.0
2020-01-28;no;Germany;
2020-01-28;no;Italy;
2020-01-29;no;France;5.0
2020-01-29;no;Germany;
2020-01-29;no;Italy;
2020-01-30;no;France;5.0
2020-01-30;no;Germany;
2020-01-30;no;Italy;
2020-01-31;no;France;5.0
2020-01-31;no;Germany;
2020-01-31;no;Italy;
2020-02-01;no;France;6.0
2020-02-01;no;Germany;
2020-02-01;no;Italy;
2020-02-02;no;France;6.0
2020-02-02;no;Germany;
2020-02-02;no;Italy;
2020-02-03;no;France;6.0
2020-02-03;no;Germany;
2020-02-03;no;Italy;
2020-02-04;no;France;6.0
2020-02-04;no;Germany;
2020-02-04;no;Italy;
2020-02-05;no;France;6.0
2020-02-05;no;Germany;
2020-02-05;no;Italy;
2020-02-06;no;France;6.0
2020-02-06;no;Germany;
2020-02-06;no;Italy;
2020-02-07;no;France;6.0
2020-02-07;no;Germany;
2020-02-07;no;Italy;
2020-02-08;no;France;11.0
2020-02-08;no;Germany;
2020-02-08;no;Italy;
2020-02-09;no;France;11.0
2020-02-09;no;Germany;
2020-02-09;no;Italy;
2020-02-10;no;France;11.0
2020-02-10;no;Germany;
2020-02-10;no;Italy;
2020-02-11;no;France;11.0
2020-02-11;no;Germany;
2020-02-11;no;Italy;
2020-02-12;no;France;11.0
2020-02-12;no;Germany;
2020-02-12;no;Italy;
2020-02-13;no;France;11.0
2020-02-13;no;Germany;
2020-02-13;no;Italy;
2020-02-14;no;France;11.0
2020-02-14;no;Germany;
2020-02-14;no;Italy;
2020-02-15;no;France;12.0
2020-02-15;no;Germany;
2020-02-15;no;Italy;
2020-02-16;no;France;12.0
2020-02-16;no;Germany;
2020-02-16;no;Italy;
2020-02-17;no;France;12.0
2020-02-17;no;Germany;
2020-02-17;no;Italy;
2020-02-18;no;France;12.0
2020-02-18;no;Germany;
2020-02-18;no;Italy;
2020-02-19;no;France;12.0
2020-02-19;no;Germany;
2020-02-19;no;Italy;
2020-02-20;no;France;12.0
2020-02-20;no;Germany;
2020-02-20;no;Italy;
2020-02-21;no;France;12.0
2020-02-21;no;Germany;
2020-02-21;no;Italy;
2020-02-22;no;France;12.0
2020-02-22;no;Germany;
2020-02-22;no;Italy;
2020-02-23;no;France;12.0
2020-02-23;no;Germany;
2020-02-23;no;Italy;
2020-02-24;no;France;12.0
2020-02-24;no;Germany;
2020-02-24;no;Italy;
2020-02-25;no;France;14.0
2020-02-25;no;Germany;
2020-02-25;no;Italy;
2020-02-26;no;France;18.0
2020-02-26;no;Germany;
2020-02-26;no;Italy;
2020-02-27;no;France;38.0
2020-02-27;no;Germany;
2020-02-27;no;Italy;
2020-02-28;no;France;57.0
2020-02-28;no;Germany;
2020-02-28;no;Italy;
2020-02-29;no;France;100.0
