;location;Population
0;Afghanistan;40099462
1;Africa;1392394303
2;Albania;2854710
3;Algeria;44177969
4;American Samoa;45035
5;Andorra;79034
6;Angola;34503774
7;Anguilla;15753
8;Antigua and Barbuda;93220
9;Argentina;45276780
10;Armenia;2790974
11;Aruba;106536
12;Asia;4693235454
13;Australia;25921089
14;Austria;8922082
15;Azerbaijan;10312992
16;Bahamas;407906
17;Bahrain;1463265
18;Bangladesh;169356251
19;Barbados;281200
20;Belarus;9578168
21;Belgium;11611420
22;Belize;400031
23;Benin;12996895
24;Bermuda;64185
25;Bhutan;777486
26;Bolivia;12079472
27;Bonaire Sint Eustatius and Saba;26706
28;Bosnia and Herzegovina;3270943
29;Botswana;2588423
30;Brazil;214326223
31;British Virgin Islands;31122
32;Brunei;445373
33;Bulgaria;6885868
34;Burkina Faso;22100683
35;Burundi;12551213
36;Cambodia;16589023
37;Cameroon;27198628
38;Canada;38155012
39;Cape Verde;587925
40;Cayman Islands;68136
41;Central African Republic;5457154
42;Chad;17179740
43;Chile;19493184
44;China;1425893464
45;Colombia;51516562
46;Comoros;821626
47;Congo;5835806
48;Cook Islands;17003
49;Costa Rica;5153957
50;Cote d'Ivoire;27478249
51;Croatia;4060135
52;Cuba;11256372
53;Curacao;190338
54;Cyprus;896007
55;Czechia;10510750
56;Democratic Republic of Congo;95894118
57;Denmark;5854240
58;Djibouti;1105557
59;Dominica;72412
60;Dominican Republic;11117874
61;Ecuador;17797737
62;Egypt;109262178
63;El Salvador;6314167
64;Equatorial Guinea;1634466
65;Eritrea;3620312
66;Estonia;1328701
67;Eswatini;1192271
68;Ethiopia;120283026
69;Europe;748655221
70;European Union;447593544
71;Faeroe Islands;52888
72;Falkland Islands;3764
73;Fiji;924610
74;Finland;5535992
75;France;67422000
76;French Polynesia;304032
77;Gabon;2341179
78;Gambia;2639916
79;Georgia;3757980
80;Germany;83408554
81;Ghana;32833031
82;Gibraltar;32670
83;Greece;10445365
84;Greenland;56243
85;Grenada;124610
86;Guam;170534
87;Guatemala;17608483
88;Guernsey;63065
89;Guinea;13531906
90;Guinea-Bissau;2060721
91;Guyana;804567
92;Haiti;11447569
93;High income;1241374280
94;Honduras;10278346
95;Hong Kong;7494578
96;Hungary;9709786
97;Iceland;370335
98;India;1407563842
99;Indonesia;273753191
100;Iran;87923432
101;Iraq;43533592
102;Ireland;4986526
103;Isle of Man;84263
104;Israel;9291000
105;Italy;59240330
106;Jamaica;2827694
107;Japan;124612530
108;Jersey;109618
109;Jordan;11148278
110;Kazakhstan;19196465
111;Kenya;53005614
112;Kiribati;128874
113;Kosovo;1782115
114;Kuwait;4250114
115;Kyrgyzstan;6527743
116;Laos;7425058
117;Latvia;1873919
118;Lebanon;5592631
119;Lesotho;2281454
120;Liberia;5193416
121;Libya;6735277
122;Liechtenstein;39039
123;Lithuania;2786651
124;Low income;701926970
125;Lower middle income;3363196660
126;Luxembourg;639321
127;Macao;686607
128;Madagascar;28915653
129;Malawi;19889742
130;Malaysia;33573874
131;Maldives;521458
132;Mali;21904983
133;Malta;526748
134;Marshall Islands;42050
135;Mauritania;4614974
136;Mauritius;1298915
137;Mexico;126705138
138;Micronesia (country);113131
139;Moldova;3061506
140;Monaco;36686
141;Mongolia;3347782
142;Montenegro;627859
143;Montserrat;4417
144;Morocco;37076584
145;Mozambique;32077072
146;Myanmar;53798084
147;Namibia;2530151
148;Nauru;12512
149;Nepal;30034989
150;Netherlands;17501696
151;New Caledonia;287800
152;New Zealand;5129728
153;Nicaragua;6850540
154;Niger;25252722
155;Nigeria;213401323
156;Niue;1937
157;North America;596315269
158;North Korea;25971909
159;North Macedonia;2103330
160;Northern Mariana Islands;49481
161;Norway;5403021
162;Oceania;44491772
163;Oman;4520471
164;Pakistan;231402116
165;Palau;18024
166;Palestine;5133392
167;Panama;4351267
168;Papua New Guinea;9949437
169;Paraguay;6703799
170;Peru;33715472
171;Philippines;113880328
172;Pitcairn;47
173;Poland;38307726
174;Portugal;10290103
175;Puerto Rico;3256028
176;Qatar;2688235
177;Romania;19328560
178;Russia;145102755
179;Rwanda;13461888
180;Saint Helena;5404
181;Saint Kitts and Nevis;47606
182;Saint Lucia;179652
183;Saint Pierre and Miquelon;5883
184;Saint Vincent and the Grenadines;104332
185;Samoa;218764
186;San Marino;33746
187;Sao Tome and Principe;223107
188;Saudi Arabia;35950396
189;Senegal;16876720
190;Serbia;6871547
191;Seychelles;106470
192;Sierra Leone;8420641
193;Singapore;5453600
194;Sint Maarten (Dutch part);44042
195;Slovakia;5447622
196;Slovenia;2119410
197;Solomon Islands;707851
198;Somalia;17065581
199;South Africa;59392255
200;South America;433956670
201;South Korea;51830139
202;South Sudan;10748272
203;Spain;47486935
204;Sri Lanka;21773441
205;Sudan;45657202
206;Suriname;612984
207;Sweden;10467097
208;Switzerland;8691406
209;Syria;21324367
210;Taiwan;23859912
211;Tajikistan;9750064
212;Tanzania;63588334
213;Thailand;71601103
214;Timor;1320942
215;Togo;8644829
216;Tokelau;1849
217;Tonga;106017
218;Trinidad and Tobago;1525663
219;Tunisia;12262946
220;Turkey;84775404
221;Turkmenistan;6341855
222;Turks and Caicos Islands;45114
223;Tuvalu;11204
224;Uganda;45853778
225;Ukraine;43531422
226;United Arab Emirates;9365144
227;United Kingdom;67281040
228;United States;336997624
229;United States Virgin Islands;100091
230;Upper middle income;2501427940
231;Uruguay;3426260
232;Uzbekistan;34081449
233;Vanuatu;319136
234;Vatican;511
235;Venezuela;28199866
236;Vietnam;97468028
237;Wallis and Futuna;11627
238;Western Sahara;565581
239;World;7909295152
240;World excl. China;6483401688
241;Yemen;32981641
242;Zambia;19473125
243;Zimbabwe;15993524
