;date;France;Germany;Italy
0;2020-12-27;609.0;;
1;2020-12-28;1288.0;;
2;2020-12-29;1668.0;;
3;2020-12-30;2110.0;;
4;2020-12-31;2549.0;;
5;2021-01-01;3698.0;;
6;2021-01-02;4060.0;;
7;2021-01-03;4462.0;;
8;2021-01-04;6565.0;;
9;2021-01-05;14311.0;;
10;2021-01-06;26765.0;;
11;2021-01-07;56224.0;;
12;2021-01-08;93364.0;;
13;2021-01-09;104576.0;;
14;2021-01-10;110579.0;;
15;2021-01-11;150511.0;;
16;2021-01-12;212643.0;;
17;2021-01-13;277759.0;;
18;2021-01-14;360875.0;;
19;2021-01-15;429879.0;;
20;2021-01-16;450092.0;;
21;2021-01-17;461074.0;;
22;2021-01-18;546972.0;;
23;2021-01-19;677566.0;;
24;2021-01-20;815106.0;;
25;2021-01-21;973502.0;;
26;2021-01-22;1094561.0;;
27;2021-01-23;1133037.0;;
28;2021-01-24;1142779.0;;
29;2021-01-25;1221011.0;;
30;2021-01-26;1321383.0;;
31;2021-01-27;1428620.0;;
32;2021-01-28;1552967.0;;
33;2021-01-29;1645148.0;;
34;2021-01-30;1674269.0;;
35;2021-01-31;1679501.0;;
36;2021-02-01;1732618.0;;
37;2021-02-02;1804917.0;;
38;2021-02-03;1877217.0;;
39;2021-02-04;1959285.0;;
40;2021-02-05;2027511.0;;
41;2021-02-06;2050572.0;;
42;2021-02-07;2055758.0;;
43;2021-02-08;2102591.0;;
44;2021-02-09;2168592.0;;
45;2021-02-10;2239599.0;;
46;2021-02-11;2326868.0;;
47;2021-02-12;2406178.0;;
48;2021-02-13;2428553.0;;
49;2021-02-14;2433628.0;;
50;2021-02-15;2471715.0;;
51;2021-02-16;2522105.0;;
52;2021-02-17;2572627.0;;
53;2021-02-18;2642411.0;;
54;2021-02-19;2707472.0;;
55;2021-02-20;2726057.0;;
56;2021-02-21;2729373.0;;
57;2021-02-22;2766868.0;;
58;2021-02-23;2820642.0;;
59;2021-02-24;2880647.0;;
60;2021-02-25;2981221.0;;
